gvkey,iid,datadate,tic,cshtrm,prccm,trt1m,cmth,cshom,cyear,gind,gsector
001979,01,2024-07-31,BCPC,2995328.0000,177.4600,15.2712,7,32444000,2024,151010,15
001979,01,2024-08-31,BCPC,2160298.0000,177.0300,-0.2423,8,32444000,2024,151010,15
001979,01,2024-09-30,BCPC,2427045.0000,176.0000,-0.5818,9,32444000,2024,151010,15
001979,01,2024-10-31,BCPC,2267310.0000,167.3300,-4.9261,10,32508000,2024,151010,15
001979,01,2024-11-30,BCPC,2818855.0000,180.5200,7.8826,11,32508000,2024,151010,15
001979,01,2024-12-31,BCPC,2738533.0000,162.9950,-9.2261,12,32508000,2024,151010,15
002312,01,2015-01-31,RHI,14475000.0000,58.0600,-0.5481,1,135958000,2015,202020,20
002312,01,2015-02-28,RHI,15163487.0000,61.9600,7.0617,2,135141000,2015,202020,20
002312,01,2015-03-31,RHI,17484263.0000,60.5200,-2.3241,3,135141000,2015,202020,20
002312,01,2015-04-30,RHI,25188857.0000,55.4500,-8.3774,4,135263000,2015,202020,20
002312,01,2015-05-31,RHI,19117731.0000,56.3700,2.0198,5,135076000,2015,202020,20
002312,01,2015-06-30,RHI,13893049.0000,55.5000,-1.5434,6,135076000,2015,202020,20
002312,01,2015-07-31,RHI,22710905.0000,55.0300,-0.8468,7,135076000,2015,202020,20
002312,01,2015-08-31,RHI,23043756.0000,51.0300,-6.9053,8,134500000,2015,202020,20
002312,01,2015-09-30,RHI,19674159.0000,51.1600,0.2548,9,134500000,2015,202020,20
002312,01,2015-10-31,RHI,21333048.0000,52.6600,2.9320,10,134500000,2015,202020,20
002312,01,2015-11-30,RHI,16975444.0000,51.1800,-2.4307,11,132686000,2015,202020,20
002312,01,2015-12-31,RHI,28034193.0000,47.1400,-7.8937,12,132686000,2015,202020,20
002312,01,2016-01-31,RHI,24736105.0000,43.7700,-7.1489,1,132686000,2016,202020,20
002312,01,2016-02-29,RHI,33410778.0000,39.3900,-9.5042,2,131157000,2016,202020,20
002312,01,2016-03-31,RHI,24861891.0000,46.5800,18.2534,3,131157000,2016,202020,20
002312,01,2016-04-30,RHI,36070165.0000,38.3100,-17.7544,4,131633000,2016,202020,20
002312,01,2016-05-31,RHI,28991402.0000,41.5900,9.1360,5,131319000,2016,202020,20
002312,01,2016-06-30,RHI,27978172.0000,38.1600,-8.2472,6,131319000,2016,202020,20
002312,01,2016-07-31,RHI,25894241.0000,36.5400,-4.2453,7,131319000,2016,202020,20
002312,01,2016-08-31,RHI,26587603.0000,38.3300,5.5008,8,130140000,2016,202020,20
002312,01,2016-09-30,RHI,21106566.0000,37.8600,-1.2262,9,130140000,2016,202020,20
002312,01,2016-10-31,RHI,33794593.0000,37.4200,-1.1622,10,130140000,2016,202020,20
002312,01,2016-11-30,RHI,30085515.0000,44.8700,20.4971,11,128886000,2016,202020,20
002312,01,2016-12-31,RHI,24197425.0000,48.7800,8.7141,12,128886000,2016,202020,20
002312,01,2017-01-31,RHI,26400377.0000,47.0600,-3.5260,1,128886000,2017,202020,20
002312,01,2017-02-28,RHI,23360626.0000,48.2400,3.0174,2,127797000,2017,202020,20
002312,01,2017-03-31,RHI,25575417.0000,48.8300,1.2231,3,127797000,2017,202020,20
002312,01,2017-04-30,RHI,28139172.0000,46.0500,-5.6932,4,127222000,2017,202020,20
002312,01,2017-05-31,RHI,21758163.0000,46.4900,1.4767,5,127179000,2017,202020,20
002312,01,2017-06-30,RHI,19044098.0000,47.9300,3.0974,6,127179000,2017,202020,20
002312,01,2017-07-31,RHI,19153911.0000,45.2500,-5.5915,7,127179000,2017,202020,20
002312,01,2017-08-31,RHI,20459934.0000,45.3000,0.6409,8,126184000,2017,202020,20
002312,01,2017-09-30,RHI,16820755.0000,50.3400,11.1258,9,126184000,2017,202020,20
